71530,Vinohrady,2834
69540,Agátová,2727
39912,Leningradská,2643
62797,Ulica Fraňa Kráľa,1487
53571,Juraja Fándlyho,320
53641,Jazmínová,320
68576,Gagarinova,804
55176,Bazovského,1662
48488,Priehon,2321
54052,Zúbekova,320
45624,Sadová,493
61906,Jahodová,2754
71749,Bažantnicová,2994
3660902,Medovková,1607
48000,Nová,1859
63983,Kvetná,2488
50746,Cintorínska,214
60521,Krátka ulica,1317
49525,Sídl. Lúky,2829
55770,Slobody,1765
41648,Kováčska,2959
65291,Rumanova,2981
68808,Slnečná,2755
65449,Kukuričná,3030
64547,Alešovo nábrežie,2980
50768,Družstevná,2753
61581,Prešovská,2754
72050,Krátka,666
39406,Dunajská,3004
69776,Snežienková ul.,1281
62875,Sadová,2439
49658,Pionierska,1075
60192,Ružová,542
68845,Pod Suchým vrchom,390
55833,Okružná,1765
60146,Mikszáthova,1788
51446,Červenej Armády,1971
46348,Gen. M. R. Štefánika,2592
59841,Skalica,898
45512,Moyzesova,2336
63481,Hviezdoslavova,1502
65557,Ortoviská,2975
48675,Vsetínska,1961
66570,Stavbárov,1699
40621,Buzalkova,2990
3618673,Ku priehrade,1411
71257,Dubová,1125
71866,Ľudmily Podjavorinskej,145
53882,Pod Dielce,320
68977,Za plavárňou,320
58496,Nám.SNP,1389
63655,Čs.armády,2411
44940,Továrenská,897
71972,Smreková,2334
67276,J. Kostru,2430
52300,A. Slávku,281
66765,Hviezdoslavová,816
59509,Kollárova,213
51843,Hlboká cesta,782
67753,Jesenského,1334
66305,Špitálska,1699
48719,Podmalenica,425
48056,Pod poliankou,2140
53370,Beladická,1793
71630,Mrvicová,860
54398,J. Francisciho,2982
49715,Kajsa II,1564
52784,M. Benku,2561
59982,Záhradná,136
39361,Dobrovského,3004
66446,Mládeže,2472
70842,Dubová,2558
47504,Dukelská,2106
48492,Námestie Andreja Hlinku,712
42021,Hasičská,1558
44314,Murgašova,2340
48299,Nižovecká,712
39400,Dukelská,782
42939,Hlboká cesta,1310
43340,Obrancov Mieru,2403
3626288,Malá,320
70394,Kamenec,2433
46188,Panenská,2585
63381,Farbiarska,2087
44391,Lipová,2340
53839,Orgovánová,2188
53387,Čeladická I,419
3618696,Pri kempingu,1411
65371,Strážna,2973
58026,Kopaničná,165
70358,Horná Kostolná ulica,2638
66678,Ružova,2729
57351,Ludvíka Svobodu,388
44124,Ulica Sándora Petőfiho,775
64234,Bernolákova,2835
57059,Profesora Sáru,390
59543,Mliekárenská,213
51729,Lúčna,2643
53878,Poštová,320
53666,Klemensova,320
41728,Nagyova,3000
48125,Sládkovičova,1239
63442,Popradská,800
47261,Agátová,1981
58991,Ulica Janka Alexyho,1560
70556,Južná,2580
59996,Narcisová,2233
62684,Továrenská,1210
43563,Ulica Kornela Mahra,2598
69212,Germánska,210
59375,Priemyselná,2224
51286,Lipová ulica,2554
61211,Priehradka,894
57450,Osadná,388
68371,Kvetná,1637
51083,Súkennícka ul.,1485
71466,Radoslava Hošeka,2989
47474,Pekárenská,1981
65650,Košická,97
39486,Gogoľova,2996
3841103,NÁMESTIE SVÄTÉHO ŠTEFANA,220
61288,Ľ. Štúra,2754
60466,J. Hollého,2965
68770,Ulica Sv. Martina,1662
70201,Skalnatá,901
69602,Vŕbová,1658
69830,Lúčna,601
47425,Stredná,1981
46175,Opatovská,2585
45611,Šaštínska,493
44106,Na Pažiti,775
44526,SNP,2365
40278,Pernecká,2997
71412,Suchý vrch,1501
45590,Pri Kadúbku,212
54239,Jalcová,320
41817,Staničná,2959
67673,Cyrila a Metoda,1334
45700,Betlehem,909
48176,SNP,569
52154,Kossúthova,259
65926,Obchodná,1805
70541,Kľučiny,1514
50113,Kúpeľná,2934
42634,Grasalkovičova,1075
42667,J. Jesenského,2334
69003,B.Němcovej,373
64540,Žriedlova,2981
60773,Zvolenská cesta,2034
64722,Janka Matušku,2978
46795,Tajovského,755
44604,Pod Vinohradmi,1985
61884,K Starej tehelni,2124
57726,Javorová,2684
57962,Stromová,520
66426,Liesková,1699
71881,Slnečná,1530
72295,Kostolná,1096
43737,Febr. Víťaz.,111
56005,Gen. Miloša Vesela,2263
63479,Hollého,2307
66287,Grün,1764
72018,Stupník,1583
48687,Medňanská,1460
72260,Zadarská,2994
50215,Malá Jarková ul.,1281
66277,Strmá,1764
43191,Ulica Hodžova,2598
43021,J. Farkasa,2334
42950,Muškátová,1846
39327,Colnícka,2989
62509,Športová,191
55073,Tatranská,2679
67434,Sadová,1379
48350,Ulica M. Falešníka,2140
64911,Národná trieda,2980
47658,Banícka,1199
44545,Urbánkova,805
54057,Za Zahradami,2477
68761,Bohatská,1065
60561,J. Matušku,2965
3361149,Smrečianska,1530
55069,Školská,2679
49240,Svätourbanská,3008
54981,Za Luhami,1530
59097,13.januára,2083
43329,Ulica Nerudova,2598
59831,Brezovian Potok,1226
64072,Ulica Čsl. Armády,2513
43747,Ul.gen.Svobodu,775
43035,Hájska,601
54170,Jirásková,320
69897,Ku krížu,1734
46629,Červenej Armády,2690
52895,Sama Chalupku,2561
40238,Ovčiarska,2968
44160,Hlavná ulica,1088
56856,Poľovnícka,390
60244,Venevská,2763
69961,Vincenta Hložníka,2541
51528,Bernolákovo námestie,1863
49243,Platanová,3008
39553,Horárska,92
40937,K Železnej studienke,3004
44138,Dolnobárska cesta,2593
53233,Slnečná,2952
46460,Murgašova,348
57419,Lesnícka,388
39257,Bohrova,2996
61925,Požiarnická,1203
56613,Haškova,390
67049,Zvonárska,540
41201,Šarišská,3001
68348,Drigačská,1451
63325,Stavbárska,2087
66112,Dlhá,1656
67719,Horná,2479
3660928,Hríbová,1607
60814,P. J. Šafárika,2965
49421,Tolstého,3008
69996,Dúhová,2430
49957,Chotínska,1046
55358,Kukoreliho,320
3361146,Belopotockého,1530
46753,Pod Hájem,755
40051,Mlynská dolina,3004
42577,Štúrova,2334
57265,Borovicová,390
39386,Drobného,3000
65881,Jazerná,839
65399,Budapeštianska,3024
39128,Štrbská,2998
67292,Kúpeľná,1379
48466,Bystričianska cesta,1187
43538,Ulica Divadelná,2598
50966,Námestie 1.mája,2554
72169,Píla,193
3610773,Soferove schody,3004
44585,Hlavná,805
60351,Agátová,1496
45609,Agátová,2336
40813,Varšavská,3003
58470,Jesenského,1389
45915,Prof.Čárskeho,809
51467,Školská,1863
44310,Dvor Garažd,805
41923,Pri druhej kaplnke,2899
55488,Rázusova,1662
66888,Rožňavská,1811
40869,Wolkrova,2996
53656,K. Olbrachta,2608
61114,Šušolská,1554
54393,Ľudmily Podjavorinskej,2982
61521,Námestie mieru,2124
44000,Vinohradská ulica,220
64985,Plzenská,2978
49139,Mierove Námestie,2643
68961,Nitrianska ulica,699
71540,Námestie sv.Štefana,2834
52351,Pri Zámočku,281
64714,Sv.Ladislava,2974
44231,Ul.Istvána Gyurcsóa,775
59144,Komenského,1266
51344,Cintorínska ulica,935
3626301,Spojná,320
71660,Pod Stavencom,567
39363,Dohnalova,3004
46995,Ulica u Vaškovcov,523
41022,Andreja Plávku,3004
41758,Poľná,2890
56222,SNP,2627
62872,Sídlisko pri prameni,1487
56922,Slov. Národného Povstania,2156
51952,Petra Jilemnického,1971
51435,Májová,2643
62089,Sama Chalupku,395
52634,Československej armády,1377
72712,Javorová,2068
62207,Čerešňová,395
68008,Východná,2580
46215,Považská,1781
60618,Novomeského,2707
55845,Zelená,2168
40706,Technická,92
50373,Podzáhradná,2131
66366,J. A. Komenského,1699
65161,Turgenevova,2972
55584,Turcová,2833
70760,Na brezinách,2582
58716,Jesenského,788
57975,Vajsková,2047
52658,Astrová,2561
59162,Mateja Belu,1177
61489,Makarenkova,197
71742,Slnečná,2890
44335,Hlboká,2158
50151,Kpt.Nálepku,640
40039,Mierova,220
45813,Predmestie,2354
60296,Riečky,1727
70806,Družstevná,860
63432,Jesenná,800
52224,Pri majeri,259
69622,Čerešňová ulica,2598
54224,Smaragdová,320
53538,Do Stošky,320
63646,Pri Teleku,2307
70832,Mokraď,1037
4028211,Záhumenská,712
47856,Kpt. Nálepku,569
45425,Pod náhonom,2016
59556,9.mája,1226
45834,Sasinkova,2354
57578,Športová,2913
50688,Ľ. Štúra,214
60629,Orgovánová,674
68383,Staničná,673
63254,Popradskej brigády,2087
62052,Kukučínova,395
45599,Kaplinská,2336
65480,Roľnícka,3030
49284,Priehradná,3008
63263,Riečna,2087
53399,Družstevná,419
52370,M. Bercsényiho,2643
44454,Pionierska,2718
52262,Dúhová,808
56041,Pod Ostrô,2263
48315,Farská,135
72802,Ulica Karola Elberta,2598
58509,Tvôľ,1389
65222,Zvolenská,2980
68787,Pri Kadúbku,212
42752,Partizánska,1075
41834,Továrenská,2890
67590,Potočná,871
3602519,Slnečná,197
69224,Podhorská,277
71744,Agátová,2354
69047,Riečna,430
66857,Osada,2031
66469,Odeská,1699
44399,Martanovičova,92
47467,Šimonovianska,1981
68433,Hlavná ulica,2942
48997,Jazerná,3008
56724,Lesná,390
64704,Hronská,2978
69632,Vŕbová,390
42359,Senecká,2014
63067,Budovateľská,2432
69759,Hlavná,437
44312,Sídl.Hanza,805
56337,Mostová,2642
47936,Medzibriežková ulica,2140
54253,Mlynská,2932
42889,Za školou,1075
43338,Obráncov Mieru,2403
3976191,Kuzmányho,2430
72408,Kultúrna ,320
72414,gen.M.R.Štefánika,1646
50240,Mierová,2934
54179,Holubia,320
41609,Hurbanova,1646
71242,Berzeviczyho,2971
65890,Tichá,2852
63541,Puškinova,2307
53366,Sadová,2952
50887,Krátka,1178
39230,Belehradská,3003
42352,Ružová,2399
68191,Hlavná,2397
61444,Kostolná,2515
47662,Banská cesta,861
64069,Ulica 1.mája,2513
57447,Okrúhla,388
70118,Na Horke,2973
71386,Ižopská,111
40935,Škarniclova,3004
4007406,Madvova,1835
48036,Partizánska,1468
66798,Kvetná,2239
62704,Gen. Štefánika,1210
70611,Ulica I. Vysočana,2140
66807,Letná,816
63143,Jurkovičova,272
48332,Štále,135
